EmployeeNumber,Age,Gender,Department,JobRole,JobLevel,MaritalStatus,OverTime,BusinessTravel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition,RiskScore,RiskPct,RiskSegment,RiskLevel
1053,26,Male,Research & Development,Research Scientist,1,Married,Yes,Travel_Frequently,2042,3,1,1,3,1,Yes,0.9421,94.2,Flight Risk,Critical (>80%)
1464,31,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Frequently,3722,2,2,4,1,2,Yes,0.939,93.9,Flight Risk,Critical (>80%)
1649,40,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,2166,4,0,1,1,1,Yes,0.9378,93.8,Flight Risk,Critical (>80%)
1868,29,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Frequently,2439,1,1,4,2,4,Yes,0.936,93.6,Flight Risk,Critical (>80%)
1844,29,Male,Human Resources,Human Resources,1,Divorced,Yes,Travel_Rarely,2335,2,2,1,3,1,Yes,0.9354,93.5,Flight Risk,Critical (>80%)
514,30,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Frequently,2285,1,0,4,3,3,Yes,0.9341,93.4,Flight Risk,Critical (>80%)
65,28,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,3441,2,2,3,2,3,Yes,0.9334,93.3,Flight Risk,Critical (>80%)
299,30,Female,Sales,Sales Executive,2,Single,No,Travel_Frequently,6696,6,0,1,2,3,Yes,0.9321,93.2,Flight Risk,Critical (>80%)
137,20,Female,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Frequently,2926,1,1,4,3,4,Yes,0.9311,93.1,Flight Risk,Critical (>80%)
1752,29,Female,Sales,Sales Representative,1,Single,No,Travel_Rarely,2760,2,2,2,3,2,Yes,0.9306,93.1,Flight Risk,Critical (>80%)
816,29,Female,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2319,1,0,1,3,2,Yes,0.93,93.0,Flight Risk,Critical (>80%)
1427,31,Female,Sales,Sales Representative,1,Single,No,Travel_Frequently,1359,1,0,3,3,2,Yes,0.9292,92.9,Flight Risk,Critical (>80%)
720,24,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,4577,2,2,3,3,1,Yes,0.9267,92.7,Flight Risk,Critical (>80%)
1928,29,Male,Sales,Sales Representative,1,Single,No,Travel_Frequently,1091,1,0,1,3,3,Yes,0.9266,92.7,Flight Risk,Critical (>80%)
702,33,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Frequently,3348,10,9,1,3,1,Yes,0.9255,92.6,Flight Risk,Critical (>80%)
1331,31,Female,Sales,Sales Representative,1,Single,Yes,Travel_Frequently,2302,3,2,2,4,4,Yes,0.925,92.5,Flight Risk,Critical (>80%)
1077,20,Female,Sales,Sales Representative,1,Single,Yes,Travel_Frequently,2323,2,0,4,3,4,Yes,0.9245,92.4,Flight Risk,Critical (>80%)
1157,33,Female,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,8224,5,0,1,3,1,Yes,0.9219,92.2,Flight Risk,Critical (>80%)
2023,23,Male,Sales,Sales Representative,1,Married,No,Travel_Frequently,1790,1,1,1,2,4,Yes,0.9215,92.2,Flight Risk,Critical (>80%)
1716,47,Male,Sales,Sales Executive,4,Married,No,Travel_Frequently,12936,23,14,3,1,3,Yes,0.9162,91.6,Flight Risk,Critical (>80%)
1296,28,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Frequently,3867,2,2,4,3,4,No,0.9155,91.5,Flight Risk,Critical (>80%)
163,31,Male,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,6172,7,7,3,2,2,Yes,0.9154,91.5,Flight Risk,Critical (>80%)
147,34,Male,Research & Development,Laboratory Technician,2,Single,Yes,Travel_Frequently,6074,9,0,3,3,1,Yes,0.9141,91.4,Flight Risk,Critical (>80%)
1198,20,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,3033,2,1,3,2,1,No,0.9138,91.4,Flight Risk,Critical (>80%)
554,24,Female,Sales,Sales Representative,1,Single,Yes,Travel_Rarely,3202,5,1,2,3,1,Yes,0.9127,91.3,Flight Risk,Critical (>80%)
648,30,Male,Sales,Sales Representative,1,Married,No,Travel_Frequently,2033,1,0,1,4,2,Yes,0.9125,91.2,Flight Risk,Critical (>80%)
390,26,Male,Research & Development,Healthcare Representative,2,Married,Yes,Travel_Frequently,4741,5,3,1,3,1,No,0.9112,91.1,Flight Risk,Critical (>80%)
1645,35,Male,Sales,Sales Executive,2,Divorced,Yes,Travel_Rarely,5440,2,2,4,2,1,Yes,0.9097,91.0,Flight Risk,Critical (>80%)
1016,20,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2600,1,0,1,3,4,Yes,0.9073,90.7,Flight Risk,Critical (>80%)
1420,49,Male,Research & Development,Laboratory Technician,2,Single,No,Travel_Frequently,4284,4,1,1,3,1,Yes,0.9055,90.6,Flight Risk,Critical (>80%)
970,37,Male,Sales,Sales Executive,3,Married,No,Travel_Rarely,10609,14,11,3,1,1,Yes,0.9037,90.4,Flight Risk,Critical (>80%)
832,40,Male,Research & Development,Laboratory Technician,2,Single,No,Travel_Frequently,5094,1,0,3,3,1,No,0.9034,90.3,Flight Risk,Critical (>80%)
1569,35,Female,Research & Development,Laboratory Technician,1,Divorced,Yes,Travel_Rarely,2074,1,0,1,3,1,Yes,0.9029,90.3,Flight Risk,Critical (>80%)
33,32,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Frequently,3919,10,6,1,3,2,Yes,0.9005,90.1,Flight Risk,Critical (>80%)
1611,45,Female,Research & Development,Laboratory Technician,2,Single,Yes,Travel_Rarely,5769,10,1,1,3,3,No,0.8994,89.9,Flight Risk,Critical (>80%)
411,18,Female,Sales,Sales Representative,1,Single,No,Travel_Rarely,1200,0,0,3,3,4,No,0.8993,89.9,Flight Risk,Critical (>80%)
1,41,Female,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,5993,6,0,4,1,2,Yes,0.8977,89.8,Flight Risk,Critical (>80%)
1767,43,Male,Research & Development,Research Scientist,1,Married,Yes,Travel_Frequently,2437,1,0,3,3,3,Yes,0.8958,89.6,Flight Risk,Critical (>80%)
1604,28,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2408,1,0,2,3,3,Yes,0.8894,88.9,Flight Risk,Critical (>80%)
1037,26,Male,Sales,Sales Executive,2,Single,No,Non-Travel,4969,2,2,1,3,2,Yes,0.8885,88.9,Flight Risk,Critical (>80%)
72,26,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,4157,2,0,4,2,3,No,0.888,88.8,Flight Risk,Critical (>80%)
1188,43,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,5346,4,1,3,2,1,Yes,0.8829,88.3,Flight Risk,Critical (>80%)
261,35,Male,Research & Development,Manufacturing Director,2,Married,Yes,Travel_Rarely,5916,1,0,3,3,2,Yes,0.8827,88.3,Flight Risk,Critical (>80%)
47,50,Male,Sales,Sales Representative,1,Married,Yes,Travel_Rarely,2683,3,0,3,3,1,Yes,0.8806,88.1,Flight Risk,Critical (>80%)
1489,34,Female,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,4599,15,10,2,4,1,Yes,0.8794,87.9,Flight Risk,Critical (>80%)
1019,22,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2451,4,1,1,2,2,No,0.8788,87.9,Flight Risk,Critical (>80%)
142,25,Male,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,5744,6,0,3,3,3,Yes,0.8762,87.6,Flight Risk,Critical (>80%)
932,39,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2404,2,2,1,1,4,Yes,0.8761,87.6,Flight Risk,Critical (>80%)
783,45,Male,Sales,Sales Representative,2,Single,No,Travel_Rarely,6632,8,3,3,3,2,No,0.8754,87.5,Flight Risk,Critical (>80%)
819,33,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,5324,3,0,1,3,1,Yes,0.8745,87.5,Flight Risk,Critical (>80%)
75,35,Female,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,4014,2,2,1,3,3,No,0.8744,87.4,Flight Risk,Critical (>80%)
248,41,Female,Sales,Sales Representative,1,Single,Yes,Travel_Rarely,3140,4,0,2,2,2,Yes,0.8701,87.0,Flight Risk,Critical (>80%)
1111,28,Male,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Frequently,2596,1,0,2,3,1,Yes,0.8694,86.9,Flight Risk,Critical (>80%)
1148,42,Male,Research & Development,Laboratory Technician,2,Single,No,Travel_Rarely,4272,1,0,4,3,2,No,0.8693,86.9,Flight Risk,Critical (>80%)
1594,36,Male,Research & Development,Laboratory Technician,2,Married,Yes,Travel_Frequently,5562,3,0,1,3,1,No,0.8687,86.9,Flight Risk,Critical (>80%)
1004,30,Female,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,2132,5,0,3,3,1,Yes,0.8683,86.8,Flight Risk,Critical (>80%)
1001,27,Female,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2811,2,2,2,3,3,No,0.867,86.7,Flight Risk,Critical (>80%)
1734,32,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,6735,0,0,2,3,1,Yes,0.8665,86.7,Flight Risk,Critical (>80%)
669,21,Male,Sales,Sales Representative,1,Single,No,Travel_Rarely,3447,3,1,3,3,3,No,0.866,86.6,Flight Risk,Critical (>80%)
401,26,Male,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,5828,8,7,4,3,4,Yes,0.8642,86.4,Flight Risk,Critical (>80%)
796,26,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,5326,4,1,1,2,4,Yes,0.8641,86.4,Flight Risk,Critical (>80%)
424,31,Male,Human Resources,Human Resources,2,Married,No,Travel_Rarely,6410,2,1,1,3,1,No,0.864,86.4,Flight Risk,Critical (>80%)
1684,23,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,3989,5,1,3,3,4,Yes,0.8631,86.3,Flight Risk,Critical (>80%)
785,47,Female,Sales,Sales Executive,2,Single,Yes,Travel_Frequently,6397,5,1,3,3,2,Yes,0.8608,86.1,Flight Risk,Critical (>80%)
1079,21,Female,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,1416,1,1,1,2,3,Yes,0.8603,86.0,Flight Risk,Critical (>80%)
1158,41,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,4766,1,0,4,3,2,No,0.8578,85.8,Flight Risk,Critical (>80%)
1961,38,Male,Sales,Sales Representative,1,Single,No,Travel_Rarely,2858,1,0,1,2,1,No,0.8575,85.7,Flight Risk,Critical (>80%)
1269,19,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2994,1,0,4,3,2,No,0.856,85.6,Flight Risk,Critical (>80%)
2055,50,Male,Sales,Sales Executive,3,Divorced,Yes,Travel_Rarely,10854,3,2,1,3,4,Yes,0.8554,85.5,Flight Risk,Critical (>80%)
1878,22,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2472,1,0,2,3,4,Yes,0.8546,85.5,Flight Risk,Critical (>80%)
1680,20,Male,Sales,Sales Representative,1,Single,No,Travel_Rarely,2728,2,0,1,3,4,No,0.8546,85.5,Flight Risk,Critical (>80%)
2010,32,Female,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2837,6,4,2,3,3,No,0.8532,85.3,Flight Risk,Critical (>80%)
355,31,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Frequently,3479,5,1,2,4,3,Yes,0.8515,85.1,Flight Risk,Critical (>80%)
1642,44,Male,Human Resources,Human Resources,2,Married,Yes,Travel_Frequently,5743,10,0,4,3,1,No,0.8509,85.1,Flight Risk,Critical (>80%)
1286,28,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Frequently,2154,4,0,3,2,4,No,0.8483,84.8,Flight Risk,Critical (>80%)
593,22,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Frequently,3894,2,1,3,3,3,Yes,0.8458,84.6,Flight Risk,Critical (>80%)
846,28,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,4779,8,7,2,3,2,No,0.8444,84.4,Flight Risk,Critical (>80%)
1650,29,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,5869,5,1,3,3,3,No,0.8413,84.1,Flight Risk,Critical (>80%)
502,34,Male,Sales,Sales Executive,2,Single,Yes,Non-Travel,5304,5,0,4,2,1,Yes,0.8413,84.1,Flight Risk,Critical (>80%)
405,18,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,1420,0,0,3,3,3,Yes,0.8393,83.9,Flight Risk,Critical (>80%)
566,19,Male,Human Resources,Human Resources,1,Single,No,Travel_Rarely,2564,1,0,4,4,1,Yes,0.8391,83.9,Flight Risk,Critical (>80%)
494,21,Female,Sales,Sales Representative,1,Single,No,Travel_Rarely,2716,1,0,2,3,3,Yes,0.8366,83.7,Flight Risk,Critical (>80%)
608,26,Female,Human Resources,Human Resources,1,Divorced,Yes,Travel_Frequently,2741,7,1,3,2,2,Yes,0.8346,83.5,Flight Risk,Critical (>80%)
1533,23,Male,Research & Development,Laboratory Technician,2,Single,No,Travel_Rarely,2272,4,1,3,3,1,No,0.8337,83.4,Flight Risk,Critical (>80%)
475,30,Female,Sales,Sales Executive,2,Married,Yes,Non-Travel,4736,2,2,3,4,4,No,0.8322,83.2,Flight Risk,Critical (>80%)
508,30,Male,Sales,Sales Representative,1,Married,No,Travel_Rarely,2476,1,0,2,3,3,No,0.832,83.2,Flight Risk,Critical (>80%)
331,32,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,3730,3,1,3,1,4,Yes,0.8297,83.0,Flight Risk,Critical (>80%)
1379,31,Female,Sales,Sales Representative,1,Single,No,Travel_Frequently,2785,1,0,4,4,3,Yes,0.8291,82.9,Flight Risk,Critical (>80%)
1975,39,Male,Sales,Sales Executive,4,Single,No,Travel_Rarely,13341,20,11,1,3,2,No,0.8276,82.8,Flight Risk,Critical (>80%)
1646,24,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Frequently,3760,6,1,4,3,1,No,0.8269,82.7,Flight Risk,Critical (>80%)
918,58,Male,Research & Development,Laboratory Technician,1,Divorced,Yes,Travel_Frequently,2380,1,0,4,2,4,Yes,0.822,82.2,Flight Risk,Critical (>80%)
1380,35,Female,Sales,Sales Executive,2,Married,Yes,Travel_Frequently,4614,4,3,3,2,4,Yes,0.8216,82.2,Flight Risk,Critical (>80%)
741,28,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2216,7,3,2,3,1,Yes,0.8215,82.2,Flight Risk,Critical (>80%)
1173,24,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,3597,4,1,2,3,4,No,0.8215,82.2,Flight Risk,Critical (>80%)
1939,32,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Frequently,2432,4,0,3,3,1,Yes,0.8199,82.0,Flight Risk,Critical (>80%)
1372,55,Male,Sales,Sales Executive,4,Single,Yes,Travel_Rarely,13695,19,3,3,2,1,Yes,0.8193,81.9,Flight Risk,Critical (>80%)
269,35,Female,Research & Development,Laboratory Technician,2,Single,No,Travel_Frequently,4425,6,1,2,3,2,No,0.8176,81.8,Flight Risk,Critical (>80%)
1783,22,Female,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2398,1,0,1,3,3,Yes,0.8176,81.8,Flight Risk,Critical (>80%)
1377,34,Male,Research & Development,Laboratory Technician,2,Married,No,Travel_Rarely,5429,8,7,3,3,2,No,0.8171,81.7,Flight Risk,Critical (>80%)
994,29,Female,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2404,0,0,1,3,4,Yes,0.8161,81.6,Flight Risk,Critical (>80%)
1549,33,Male,Research & Development,Laboratory Technician,2,Married,Yes,Travel_Rarely,5207,15,5,3,3,2,No,0.8148,81.5,Flight Risk,Critical (>80%)
436,32,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,5228,13,11,2,3,3,No,0.8138,81.4,Flight Risk,Critical (>80%)
792,26,Female,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Frequently,4364,2,2,4,3,1,No,0.8085,80.9,Flight Risk,Critical (>80%)
1893,26,Female,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,2933,1,1,3,2,2,No,0.8075,80.8,Flight Risk,Critical (>80%)
1100,35,Male,Sales,Sales Executive,3,Single,Yes,Travel_Rarely,9582,8,4,1,3,4,Yes,0.8074,80.7,Flight Risk,Critical (>80%)
440,28,Male,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,3464,3,2,4,2,1,Yes,0.8073,80.7,Flight Risk,Critical (>80%)
394,26,Male,Research & Development,Laboratory Technician,1,Divorced,Yes,Travel_Rarely,2373,3,0,2,3,1,Yes,0.8063,80.6,Flight Risk,Critical (>80%)
467,47,Male,Sales,Sales Representative,2,Single,No,Travel_Frequently,2976,0,0,3,3,2,No,0.805,80.5,Flight Risk,Critical (>80%)
1281,34,Female,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,4538,3,0,1,3,3,No,0.805,80.5,Flight Risk,Critical (>80%)
282,38,Male,Research & Development,Healthcare Representative,2,Married,Yes,Travel_Rarely,6673,1,0,1,3,2,Yes,0.8049,80.5,Flight Risk,Critical (>80%)
1933,28,Female,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,9854,2,2,3,3,4,Yes,0.8047,80.5,Flight Risk,Critical (>80%)
7,27,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,3468,2,2,2,3,1,No,0.8045,80.4,Flight Risk,Critical (>80%)
492,40,Male,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,6380,6,1,3,3,3,Yes,0.8044,80.4,Flight Risk,Critical (>80%)
1299,29,Female,Research & Development,Laboratory Technician,1,Divorced,Yes,Travel_Rarely,3339,7,7,3,3,2,Yes,0.8031,80.3,Flight Risk,Critical (>80%)
454,29,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2119,7,0,1,2,2,Yes,0.8029,80.3,Flight Risk,Critical (>80%)
1522,29,Male,Research & Development,Research Scientist,1,Single,No,Travel_Rarely,2362,9,0,1,1,1,Yes,0.8013,80.1,Flight Risk,Critical (>80%)
1967,31,Male,Sales,Sales Executive,2,Married,Yes,Travel_Frequently,5617,10,0,4,3,1,Yes,0.801,80.1,Flight Risk,Critical (>80%)
732,60,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,5405,2,2,1,3,1,No,0.7985,79.8,Flight Risk,High (60–80%)
1036,38,Male,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,6861,1,0,4,3,2,No,0.7949,79.5,Flight Risk,High (60–80%)
1107,26,Male,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Rarely,2377,1,0,3,2,1,Yes,0.7905,79.1,Flight Risk,High (60–80%)
527,25,Female,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,4487,5,1,4,3,2,No,0.7901,79.0,Flight Risk,High (60–80%)
1916,31,Female,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Rarely,3978,2,2,3,2,1,No,0.7894,78.9,Flight Risk,High (60–80%)
896,29,Female,Sales,Sales Representative,1,Divorced,Yes,Travel_Rarely,2800,3,0,3,3,2,Yes,0.7854,78.5,Flight Risk,High (60–80%)
2003,35,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2660,2,2,3,3,4,No,0.7818,78.2,Flight Risk,High (60–80%)
1156,18,Male,Research & Development,Laboratory Technician,1,Single,No,Non-Travel,1904,0,0,3,3,3,Yes,0.7802,78.0,Flight Risk,High (60–80%)
2053,29,Male,Research & Development,Laboratory Technician,2,Married,Yes,Travel_Rarely,4025,4,0,2,3,4,No,0.7796,78.0,Flight Risk,High (60–80%)
27,36,Male,Sales,Sales Representative,1,Single,No,Travel_Rarely,3407,5,0,1,3,3,Yes,0.7791,77.9,Flight Risk,High (60–80%)
1248,19,Female,Research & Development,Research Scientist,1,Single,Yes,Non-Travel,1859,1,0,2,4,1,Yes,0.7791,77.9,Flight Risk,High (60–80%)
364,28,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,3485,0,0,3,1,1,Yes,0.7779,77.8,Flight Risk,High (60–80%)
1639,35,Male,Sales,Sales Executive,3,Married,No,Travel_Rarely,10306,13,6,1,3,4,Yes,0.7775,77.7,Flight Risk,High (60–80%)
243,19,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,1102,1,1,4,2,2,Yes,0.7767,77.7,Flight Risk,High (60–80%)
1307,39,Female,Research & Development,Manager,4,Divorced,Yes,Travel_Rarely,17123,19,15,2,3,3,No,0.7759,77.6,Flight Risk,High (60–80%)
1017,30,Female,Research & Development,Laboratory Technician,1,Single,No,Travel_Frequently,2422,3,1,2,3,2,Yes,0.7752,77.5,Flight Risk,High (60–80%)
325,33,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2436,5,0,4,1,3,Yes,0.7739,77.4,Flight Risk,High (60–80%)
1350,35,Male,Research & Development,Research Scientist,2,Single,Yes,Travel_Frequently,4249,9,1,3,3,3,No,0.7738,77.4,Flight Risk,High (60–80%)
1801,46,Male,Sales,Sales Executive,2,Single,No,Non-Travel,7991,2,2,2,3,2,No,0.7727,77.3,Flight Risk,High (60–80%)
1714,24,Male,Human Resources,Human Resources,1,Married,No,Travel_Rarely,1555,1,0,3,3,4,Yes,0.7678,76.8,Flight Risk,High (60–80%)
1458,39,Female,Research & Development,Laboratory Technician,1,Single,Yes,Non-Travel,3646,1,0,1,4,1,Yes,0.7655,76.5,Flight Risk,High (60–80%)
113,23,Male,Sales,Sales Representative,1,Divorced,No,Travel_Rarely,2322,0,0,1,3,3,No,0.7639,76.4,Flight Risk,High (60–80%)
723,50,Male,Sales,Sales Executive,2,Married,Yes,Travel_Frequently,6796,4,1,3,3,2,Yes,0.7634,76.3,Flight Risk,High (60–80%)
1551,24,Male,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Rarely,2296,1,0,1,3,3,No,0.7619,76.2,Flight Risk,High (60–80%)
1396,32,Male,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,4078,3,1,2,2,3,No,0.7618,76.2,Flight Risk,High (60–80%)
